"","29-B1","30-B1","31-B2","32-B3","33-B1","34-B1","35-B2","36-B3","37-B1","38-B2","39-B3","40-B1","41-B2","42-B3","44-B2","45-B3","48-B3","49-B1","50-B2","52-B1","53-B2","54-B3"
"Pseudonocardiaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000666740748972108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002248959856066569,0.0
"Corynebacteriaceae",0.0,0.01916687963199591,0.12173636170664402,0.0,0.03474593291825668,0.008437123342707915,0.015767131594906003,0.00888987665296144,0.0,0.0009793120332966092,0.0012025012025012026,0.015339292970337261,0.06443496335193086,0.24943187966670274,0.00732034230333024,0.16497519170049615,0.10412469515427844,0.0006065016982047549,0.00011410314924691921,0.0028898521729465378,0.008883391431462948,0.0044426494345718905
"Nocardiaceae",0.0,0.0,0.0,0.0,0.0,0.01627159501807955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Micrococcaceae",0.4494044038021899,0.0010222335803731152,0.0010613457864572277,0.040096063485433854,0.0002008435428800964,0.003113700281237445,0.08101879927228624,0.09167685298366485,0.017081279376361343,0.07136736442649039,0.026214526214526215,0.0,0.029099660868613937,0.0011903473650037874,0.0049489638107021346,0.021876409562471808,0.015798960873714345,0.09400776322173703,0.04952076677316294,0.03578970768033789,0.0568986843584842,0.019083198707592893
"Kineosporiaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011276499774470004,0.0,0.0,0.00045641259698767686,0.0,0.0,0.0
"uncultured",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01036164160910199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Geodermatophilaceae",0.0,0.0,0.0,0.0,0.0009037959429604338,0.0,0.0,0.002000222246916324,0.005158775650578929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Microbacteriaceae",0.0,0.0014055711730130336,0.002016556994268733,0.015766941630990915,0.003615183771841735,0.013660104459622338,0.006549423893268648,0.000333370374486054,0.0020635102602315717,0.0,0.0,0.27509142624949207,0.0,0.005518883237744833,0.0027837921435199505,0.013757329724853405,0.0009542996500901282,0.0,0.0,0.0,0.019453502754975822,0.0
"Nocardioidaceae",0.001203224642040669,0.0,0.00031840373593716834,0.0,0.0,0.0,0.006791995148574894,0.00044449383264807203,0.0,0.0,0.0,0.007110930516050386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Intrasporangiaceae",0.0,0.0,0.0,0.0,0.0004016870857601928,0.0,0.007398423286840509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016914749661705007,0.0,0.0,0.0,0.0,0.0002248959856066569,0.0
"Dermacoccaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014434477781214558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Streptococcaceae",0.15244856214655275,0.24699718885765398,0.014646571853109743,0.06609585465176987,0.000502108857200241,0.000502209722780233,0.013341419041843541,0.19457717524169352,0.08403072337498567,0.1353898886032562,0.09788359788359788,0.00010158472165786265,0.23214090362104803,0.08310788875662807,0.07072894112795133,0.3342354533152909,0.1846039656452126,0.22210092188258126,0.10520310360565951,0.0650216738912971,0.17721803665804564,0.0045436187399030695
